id;codice_fiscale;tessera_sanitaria;nome;cognome;data_nascita;luogo_nascita;luogo_residenza;email;telefono;luogo_vaccino;data_vaccino
1;support database Engineer;Developer Awesome;matrix;Lesotho card infrastructure;2021-07-12T23:18:38;Incredible indexing;schemas bricks-and-clicks;Garrison15@hotmail.com;orchid Principal;Incredible;2021-07-13T07:43:59
2;Kansas Chips;platforms Kroon;adapter harness Focused;empower United Oregon;2021-07-12T21:16:58;deploy Front-line Bermuda;productize American;Janice_Jacobi29@yahoo.com;engineer Handmade;withdrawal Dynamic;2021-07-13T02:13:07
3;yellow Oregon synthesize;Tugrik Awesome;installation Islands Serbian;Configuration hack Wooden;2021-07-12T12:28:42;Idaho transmitting;Producer;Manuela_Langosh54@hotmail.com;JBOD alliance explicit;Sausages Devolved Dynamic;2021-07-12T19:04:50
4;turquoise;Fresh Handmade Plain;Configuration next-generation;Avon AGP;2021-07-13T00:51:17;Ohio approach cross-platform;Product;Ara.Schultz@hotmail.com;Toys Streamlined;convergence Granite Aruba;2021-07-12T21:57:54
5;Barbados Bridge Sausages;Keyboard Program Colombia;connect microchip;Checking olive Chief;2021-07-13T07:23:32;monetize;methodology virtual Generic;Kian54@gmail.com;Health;toolset Buckinghamshire Cambridgeshire;2021-07-12T21:28:20
6;circuit;applications Maine;driver Solutions deposit;Movies Administrator invoice;2021-07-12T18:02:18;Money;Wyoming clear-thinking;Sarai60@hotmail.com;Security Borders Sports;schemas;2021-07-12T21:43:06
7;Cambridgeshire payment alliance;Island object-oriented;Officer Plastic;green olive Road;2021-07-13T11:05:40;Card quantify;Gloves;Karli54@gmail.com;Washington overriding Incredible;Euro Right-sized;2021-07-12T15:04:25
8;Account Loaf USB;collaboration;Assurance;COM;2021-07-12T15:24:24;synergies override;Fantastic deposit;Hope.Hodkiewicz27@yahoo.com;asymmetric CSS leading;XSS;2021-07-12T19:03:29
9;Team-oriented Accounts;Producer white;Quetzal partnerships;Clothing Wooden Small;2021-07-12T21:31:39;Regional;Plains moderator PCI;Crystel.Muller66@hotmail.com;deliver;Right-sized auxiliary Checking;2021-07-12T18:38:41
10;Money digital;Barthelemy Keyboard;Mexican transmitting;deposit Fort high-level;2021-07-13T12:11:11;ivory Berkshire Books;Drives;Bulah.Yost@yahoo.com;Applications;synthesize Incredible;2021-07-13T01:40:24
